Year,Site,Depth,Transect,Transect_old,ACA,ACR,ACRbottle,ACRbushy,ACRcorym,ACRdig,ACRstag,ACRtab,ALV,AST,CAUL,COE,COS,CTE,CYP,DIP,EPHY,EPOR,EUP,FAV,Favia,FUN,GAL,GAR,GONIAS,GONIO,HAL,HEL,HERPO,HYD,HYDbr,HYDenc,ISO,LEPTA,LEPTO,Leptoria,LOB,MER,MON,MONTI,MONTIbr,MYC,OUL,OXY,PAC,PAV,PEC,PLA,POC,podo?,POL,PORbr,PORmass,PSA,SAN,SER,STY,SYM,TUR
2017,Beloi,5m,1,1,0,2,0,13,12,1,2,3,5,0,0,1,0,1,2,0,0,10,7,6,0,43,10,0,6,3,0,1,0,14,0,0,0,2,0,0,2,5,1,19,15,1,0,0,0,3,1,7,8,0,0,37,12,1,1,24,4,0,0
2017,Beloi,5m,3,2,0,0,0,5,9,0,6,16,0,0,0,0,0,7,5,0,0,7,3,14,6,54,13,0,9,10,1,0,1,9,2,0,3,0,1,0,6,2,1,28,2,0,0,0,3,13,1,18,15,0,0,36,12,1,3,4,2,0,0
2017,Beloi,5m,2,3,0,0,0,5,2,0,11,8,0,0,0,0,0,8,6,1,1,3,3,6,1,118,12,1,8,4,0,0,4,4,0,0,0,0,1,0,4,2,2,25,11,4,1,0,4,6,2,19,16,0,0,29,15,1,2,21,5,2,3
2017,Beloi,10m,1,1,0,0,0,3,5,0,11,20,0,0,0,0,0,1,2,0,4,7,3,2,3,58,10,0,1,9,2,1,3,3,0,0,0,0,0,0,2,2,0,27,21,0,0,0,0,4,4,3,7,0,0,10,6,0,1,9,7,0,0
2017,Beloi,10m,2,2,0,0,0,4,5,0,16,9,1,0,1,0,0,2,2,2,3,10,2,2,3,58,16,1,2,5,1,0,4,7,3,0,1,0,1,1,3,3,8,3,24,3,1,1,4,6,3,6,2,0,0,6,10,0,0,10,3,0,1
2017,Beloi,10m,3,3,0,0,1,2,0,1,11,21,2,0,0,1,0,2,12,4,2,2,7,3,3,54,12,0,7,5,1,0,1,2,5,0,2,0,1,0,6,5,1,35,20,8,1,0,1,8,2,8,6,0,0,19,12,1,3,18,3,0,1
2017,CristoRei,5m,2,1,1,0,0,3,0,1,0,6,0,0,0,1,0,0,5,3,1,4,2,8,3,6,10,3,14,0,0,0,1,0,11,6,0,3,1,0,4,4,4,11,1,6,0,0,0,5,1,14,13,0,0,5,33,2,0,0,0,2,0
2017,CristoRei,5m,1,2,1,0,0,1,0,0,0,2,0,0,0,1,0,0,10,1,0,0,1,6,10,6,7,0,10,3,0,0,0,7,1,0,0,0,3,1,4,6,5,9,0,3,1,1,1,5,2,29,8,0,0,6,26,3,2,0,0,2,0
2017,CristoRei,5m,3,3,0,0,0,1,1,0,0,3,0,0,0,0,0,3,2,0,0,4,0,2,2,77,0,0,7,5,0,0,0,0,0,0,0,2,0,1,0,0,1,14,23,0,0,0,0,0,0,8,2,0,0,12,6,0,0,0,0,0,0
2017,CristoRei,10m,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3,4,2,2,1,3,4,4,16,0,7,1,0,0,0,15,0,0,0,1,1,1,1,2,4,11,7,3,1,1,5,3,4,11,7,0,0,3,16,0,0,0,0,0,0
2017,CristoRei,10m,2,2,0,0,0,1,2,0,1,3,0,0,0,0,0,1,3,1,2,2,2,2,0,14,10,1,4,0,0,0,0,0,6,8,0,0,3,0,2,6,0,16,12,6,0,2,14,2,5,6,6,1,0,0,15,3,1,0,0,1,0
2017,CristoRei,10m,3,3,0,0,0,1,1,0,0,4,0,0,0,0,1,2,1,0,5,1,2,0,2,37,9,0,3,2,1,0,2,0,1,0,9,0,1,0,3,2,2,31,16,9,0,1,6,5,4,6,3,0,0,3,7,1,2,0,1,0,0
2017,DiliRock,5m,1,1,0,0,0,2,4,1,0,1,0,0,0,0,1,0,5,3,0,3,0,6,7,8,6,0,1,1,2,0,0,6,0,0,0,0,0,1,1,0,1,9,0,2,0,0,2,0,2,5,3,0,1,0,24,0,1,0,0,1,2
2017,DiliRock,5m,3,2,0,0,0,1,0,3,0,3,0,0,0,0,3,0,1,2,0,3,0,2,6,0,4,0,3,0,0,0,0,5,0,0,0,0,0,1,0,2,2,10,0,1,0,0,0,0,0,10,7,0,1,0,21,0,0,0,0,0,0
2017,DiliRock,5m,2,3,0,0,0,7,0,1,0,0,0,0,0,0,1,0,1,3,1,4,0,1,4,3,11,0,1,2,0,1,0,4,0,0,1,0,0,0,1,3,2,5,0,3,0,0,1,0,1,18,10,0,1,0,34,0,0,0,0,1,1
2017,DiliRock,10m,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,115,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,40,1,0,0,1,0,0,0,0,0,0,0,2,0,2,0,2,0,0
2017,DiliRock,10m,3,2,0,0,2,8,0,0,7,0,0,0,0,0,3,3,0,0,2,1,0,2,5,65,2,0,0,0,2,0,0,5,0,0,0,0,2,0,3,2,0,1,0,3,0,1,6,3,1,4,5,0,2,0,18,0,1,0,2,0,0
2017,DiliRock,10m,1,3,0,0,1,2,0,0,2,0,0,0,0,0,2,4,2,0,0,5,0,1,0,8,0,0,0,0,1,1,0,0,0,0,0,0,2,0,3,0,0,0,51,0,0,0,9,1,1,6,0,0,0,1,6,0,1,0,0,0,0
2017,Manatutu,5m,3,1,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,1,5,2,13,11,24,4,0,1,0,0,0,0,11,0,0,2,2,0,1,5,8,3,40,1,1,1,0,0,2,3,24,6,0,0,15,38,0,2,1,5,0,0
2017,Manatutu,5m,1,2,0,0,0,6,0,1,0,1,0,0,0,0,5,2,1,2,1,3,1,8,6,2,9,1,2,1,0,0,1,1,0,0,0,4,1,0,7,3,3,18,0,0,4,0,2,3,1,23,5,0,0,5,35,0,1,4,2,0,0
2017,Manatutu,5m,2,3,0,0,0,1,1,3,0,2,0,0,0,0,0,0,2,2,1,3,0,11,6,0,8,0,4,3,0,0,0,7,0,0,1,3,0,2,6,5,1,23,0,2,1,0,2,8,1,16,11,0,1,5,44,2,0,3,3,1,0
2017,Manatutu,10m,3,1,0,0,0,3,0,0,0,6,0,0,0,0,1,3,3,1,2,1,0,5,9,102,9,0,6,1,4,1,1,3,0,0,0,0,2,0,46,2,0,24,0,11,2,0,4,2,7,5,11,0,0,1,5,0,1,31,3,2,0
2017,Manatutu,10m,2,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,2,4,9,0,0,24,6,0,2,0,0,0,1,2,0,0,0,1,4,0,6,2,2,18,0,4,0,1,5,4,6,6,7,0,1,0,5,1,5,26,2,2,1
2017,Manatutu,10m,1,3,0,0,0,2,0,0,0,1,0,0,0,0,1,2,1,0,1,1,7,1,3,47,6,0,2,3,0,2,0,4,0,0,0,1,0,0,2,2,0,13,0,1,1,3,3,2,4,1,5,0,0,0,5,1,1,15,0,0,0
